"","name","position","drill","duration","playerload_min","jumps_min","explosive_efforts_min","accelerations_min","decelerations_min","change_of_directions_min","pl_z","jumps_z","explosive_z","accel_z","decel_z","cod_z","playerload_mino","jumps_mino","explosive_efforts_mino","accelerations_mino","decelerations_mino","change_of_directions_mino"
"253","Kate Moloney ","MID"," Sprints",3,90.97,0,0,61.9,0,0,-1.01371640210672,NA,NA,0.775307566787748,-0.301511344577764,-0.527110602518357,"NORMAL","NORMAL","NORMAL","NORMAL","NORMAL","NORMAL"
"254","Kate Moloney ","MID"," Suicides",2,134.79,0,379.31,313.81,0,162.79,-0.562992610923658,-0.277350098112615,0.902560196023941,0.358903618097017,-1.13200276285101,0.291168542392381,"NORMAL","NORMAL","NORMAL","NORMAL","NORMAL","NORMAL"
"255","Kate Moloney ","MID"," 2v2",11,40.16,31.71,71.26,96.19,59.4,38.8,-1.0402450608228,-0.570689473045809,-0.217211388434723,0.374660112004658,-0.192050853469475,-1.40233460292075,"NORMAL","NORMAL","NORMAL","NORMAL","NORMAL","NORMAL"
"256","Kate Moloney ","MID"," Zone",42,42.13,47.56,31.03,44.29,33.83,44.89,-0.483692892066354,0.212447682132268,-0.755231777703983,-0.265558901366627,-0.881315846105572,-0.0802149469426169,"NORMAL","NORMAL","NORMAL","NORMAL","NORMAL","NORMAL"
"257","Kate Moloney ","MID"," 3 Feed and Shoot Drill",11,31.22,42.68,10.34,8.57,36.09,19.31,-0.913177766734509,-0.873380247056137,-1.01718364127311,-0.843877758746497,-0.519912467993574,-1.0514767137498,"NORMAL","NORMAL","NORMAL","NORMAL","NORMAL","NORMAL"
"258","Kate Moloney ","MID"," 3v3",35,47.05,82.93,35.63,57.14,45.86,42.42,0.040724975280671,2.16554612959308,-0.300701674197229,0.320087228283558,0.347650348131,-0.468410412756173,"NORMAL","HIGH","NORMAL","NORMAL","NORMAL","NORMAL"
"259","Kate Moloney ","MID"," Centre Pass",17,70.66,95.12,58.62,72.86,62.03,72.84,0.445828518556788,1.14006650659443,0.644922829925254,0.679297652175575,0.269580091943196,0.590877251032309,"NORMAL","NORMAL","NORMAL","NORMAL","NORMAL","NORMAL"
"260","Kate Moloney ","MID"," Circle Entry",17,32.11,52.44,39.08,41.9,21.8,32.19,-1.05696457145954,-0.464900672109338,-0.585307647910301,-0.313634566299691,-1.11240044763261,-1.35147005636427,"NORMAL","NORMAL","NORMAL","NORMAL","NORMAL","NORMAL"
"261","Kate Moloney ","MID"," Conditioning",30,121.38,14.63,2.3,51.43,0.75,10.58,-0.522164282939104,0.261908313215375,-0.356379126296455,2.66664076179245,-1.17277012202994,0.153792972792647,"NORMAL","NORMAL","NORMAL","HIGH","NORMAL","NORMAL"
"262","Kate Moloney ","MID"," Specialist Drill",19,43.11,54.88,85.06,56.67,33.83,47.35,-0.342342459476738,0.591069802453026,2.15471486957577,1.03791174629395,-0.769320908586377,-0.0538942176083688,"NORMAL","NORMAL","HIGH","NORMAL","NORMAL","NORMAL"
